,scenario,period,action,byAddress,accountNumber,type,contractNumber,totalCost,transactionCost,contractCost,currentExpectedCost,nextExpectedCost,ProviderEarnings,providerCost,fraction,Cost,Cost type
0,1.0,0.0,deploy and publish,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,730.80178483104,708.5870773488,713.05347612096,0.0,713.05347612096,0.0,713.05347612096,0.05,708.5870773488,Base cost
1,1.0,2.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,752.13344576448,21.33166093344,718.0262208288001,713.05347612096,718.0262208288001,0.0,734.3851370544,0.05,21.33166093344,Base cost
2,1.0,2.0,addDataRequester,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,821.99188236672,69.85843660223999,718.0262208288001,0.0,0.0,0.0,734.3851370544,0.05,69.85843660223999,Base cost
3,1.0,5.0,addDataRequester,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,883.00119147552,61.0093091088,718.0262208288001,0.0,0.0,0.0,734.3851370544,0.05,61.0093091088,Base cost
4,1.0,6.0,addDataRequester,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,944.01050058432,61.0093091088,718.0262208288001,0.0,0.0,0.0,734.3851370544,0.05,61.0093091088,Base cost
5,1.0,7.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,972.6451851168,28.63468453248,730.20126374208,718.0262208288001,730.20126374208,0.0,763.0198215868801,0.05,28.63468453248,Base cost
6,1.0,8.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,996.5349002793602,23.88971516256,737.6983227619199,730.20126374208,737.6983227619199,0.0,786.9095367494401,0.05,23.88971516256,Base cost
7,1.0,8.0,addDataRequester,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1057.5442093881602,61.0093091088,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,61.0093091088,Base cost
8,1.0,9.0,addDataRequester,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1118.55351849696,61.0093091088,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,61.0093091088,Base cost
9,1.0,9.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1135.27294511904,16.719426622325823,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,16.719426622325823,Base cost
10,1.0,9.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1151.99237174112,16.719426622325823,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,16.719426622325823,Base cost
11,1.0,9.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1168.7117983632,16.719426622325823,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,16.719426622325823,Base cost
12,1.0,11.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1185.43122498528,16.71942662208,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,16.71942662208,Base cost
13,1.0,12.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1202.1506516073598,16.71942662208,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,16.71942662208,Base cost
14,1.0,13.0,addDataRequester,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1263.1599607161595,61.0093091088,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,61.0093091088,Base cost
15,1.0,13.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1279.8793873382397,16.71942662208,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,16.71942662208,Base cost
16,1.0,13.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1296.5988139603196,16.71942662208,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,16.71942662208,Base cost
17,1.0,13.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1313.3182405823995,16.71942662208,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,16.71942662208,Base cost
18,1.0,14.0,addDataRequester,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1374.3275496911997,61.0093091088,737.6983227619199,0.0,0.0,0.0,786.9095367494401,0.05,61.0093091088,Base cost
19,1.0,15.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1412.0464288319995,37.7188791408,754.7707208246401,737.6983227619199,754.7707208246401,0.0,824.6284158902401,0.05,37.7188791408,Base cost
20,1.0,15.0,addDataRequester,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1473.0557379407994,61.0093091088,754.7707208246401,0.0,0.0,0.0,824.6284158902401,0.05,61.0093091088,Base cost
21,1.0,15.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1489.7751645628794,16.719426622325823,754.7707208246401,0.0,0.0,0.0,824.6284158902401,0.05,16.719426622325823,Base cost
